KOI,logAiso,E_logAiso,e_logAiso,a3,loc3,scale3,a5,loc5,scale5
K00299,8.98,0.52,0.41,2.443016487362584,8.510657226872778,0.704136326237419,1.097474128732003,8.677957763037833,0.5806374062531536
K00301,9.83,0.05,0.06,-2.0056875264723715,9.882502910594338,0.0800859977348446,-0.9515919208168526,9.862979251337816,0.06660827274413939
K00303,10.1,0.03,0.05,-22.777919721302965,10.144025058135416,0.06665710683448622,-1.8431845534331757,10.132241677209247,0.05650931629620626
K00304,9.57,0.21,0.37,-25.205381842311866,9.88484908322841,0.4841416342466429,-2.0144053796352352,9.809927583766786,0.41845674506646713
K00305,9.29,0.3,0.36,-2.0056875264724425,9.605017463566035,0.48051598640906923,-0.9515880761405526,9.487874482837512,0.3996493179545656
K00306,9.28,0.27,0.42,-39.70483658817516,9.666215022721072,0.5736011399837871,-1.6425947561359493,9.547636945043383,0.47398817013349936
K00307,9.81,0.05,0.06,-2.005687526472684,9.862502910594344,0.08008599773484704,-0.951591271935925,9.842979222828617,0.0666082639439165
K00308,9.54,0.06,0.07,-1.8018029874356642,9.599703147855504,0.09236374085389043,-0.8749451442307503,9.577026089711646,0.07741098350583009
K00313,9.91,0.14,0.21,-5.4392706358907645,10.103873867164772,0.28744006965436797,-1.5413008665139785,10.042615569407985,0.23673515425432856
K00315,9.88,0.19,0.36,-25.40032934234388,10.17328499354653,0.46016909293411146,-2.2540258936241173,10.114196309583026,0.4073003407961696
K00316,9.45,0.23,0.33,-4.003165249840748,9.754444393702736,0.45153884812040157,-1.4208076028460255,9.655421711369513,0.37137586319381666
K00317,9.29,0.05,0.06,-2.005687526472599,9.342502910594341,0.08008599773484781,-0.9515956496964293,9.322979418041017,0.06660832469375799
K00318,9.31,0.06,0.06,0.017462079828845845,9.309159428310508,0.0603402353585325,0.0009223949780050589,9.309954651010202,0.061615876810478865
K00321,9.63,0.15,0.2,-2.923090103469036,9.813102935184148,0.2726575062351291,-1.2275989301610934,9.750272708225788,0.22418139298214823
K00323,8.83,0.45,0.11,31.47329426774303,8.57959249337597,0.47830118082049267,7.233638059345452,8.56240945130674,0.5027286903404011
K00327,9.7,0.09,0.11,-2.1437244739007753,9.797478219203972,0.14767893839835888,-1.0004370978872288,9.761733091295115,0.1223780973426386
K00328,10.03,0.06,0.06,8.20979977333991e-08,10.029999996047813,0.060334380181432445,-0.005182374605212203,10.030254778929573,0.06161638784449208
K00330,9.89,0.04,0.04,0.015769096449801623,9.889493943297259,0.04022610346778477,-0.11063793819229772,9.893635633295858,0.04123561062876113
K00331,9.84,0.02,0.02,0.023171282554230288,9.83962821851538,0.02011489626808005,0.08381178777025866,9.838624416753326,0.02058428087157993
K00332,9.65,0.12,0.05,25.176181167533684,9.564389835593094,0.14325530135327647,3.1988608756389,9.572794267555789,0.13554136711264908
K00333,9.23,0.18,0.21,-1.8018029874357921,9.409109443566518,0.27709122256167373,-0.8749454397240441,9.34107821208217,0.2322329316180619
K00337,9.94,0.07,0.08,-1.6557397855877127,10.006535312940555,0.10440863594400451,-0.8169401222796324,9.980876273481389,0.08817443015528326
K00338,8.95,0.53,0.23,29.84364862637156,8.563534274559759,0.639678324248568,3.0143062821069293,8.60776436836204,0.5989541609508959
K00340,9.76,0.06,0.14,-25.862594182691325,9.861397458432858,0.16839797884467733,-3.0699207723091178,9.850306783155176,0.15819039968804627
K00341,9.19,0.25,0.69,-45.36352066756808,9.648082377152644,0.7952150266977639,-3.9243172602652834,9.626753063336588,0.7775535656209613
K00343,9.88,0.09,0.11,0.011175045561387265,9.872436773322502,0.10056103699844088,-1.0004396866893899,9.941733327533065,0.12237817019281294
K00344,9.88,0.13,0.19,-4.450380348767297,10.05537137382522,0.26003755548679297,-1.4704961359116595,9.999040904906046,0.21398645659283821
K00345,9.44,0.38,0.18,24.07810117961118,9.149154956872112,0.47011018426673823,2.6504311841543142,9.193219630732116,0.4297973633998712
K00346,9.14,0.31,0.58,-27.598777964827946,9.616058905822303,0.7443394123916471,-2.2110122979024567,9.517216105199502,0.6561886323798298
K00348,9.52,0.35,0.55,-54.395952076811604,10.022502902053724,0.7484297799409629,-1.6713750147790307,9.871229486756663,0.6208611502192138
K00350,9.42,0.22,0.36,-27.76307987388303,9.74062587511803,0.4829714927442216,-1.7886349736141511,9.651544382060298,0.4067382271600668
K00351,9.55,0.12,0.16,-2.923090103469363,9.696482348147322,0.21812600498810653,-1.2276006351762305,9.64621833205971,0.17934516794959643
K00352,9.97,0.05,0.06,-2.0056875264723004,10.022502910594339,0.08008599773484515,-0.9515924092313099,10.00297927258546,0.06660827922252632
K00355,9.39,0.1,0.08,2.321426603226513,9.300302688051422,0.13501424117799754,1.0595341583992308,9.33263387436519,0.11151129090491718
K00356,9.75,0.2,0.34,-29.94146268016118,10.045724951578292,0.45022801214390074,-1.9031198634225888,9.96975942734336,0.3843747139783086
K00360,9.8,0.08,0.09,-1.5442691437264102,9.873061831002744,0.11626904581334574,-0.771063795053621,9.844565161084473,0.09890567408823936
K00361,9.25,0.3,0.54,-39.61051111360147,9.703597943126816,0.7016548548953422,-2.082962043329303,9.600650715334371,0.6108231804245541
K00364,9.76,0.08,0.06,-84.61219107039012,9.85293002942877,0.11343204759550873,1.2275991695583741,9.711890906461592,0.08967256052187123
K00365,9.73,0.19,0.25,-2.7842273144412957,9.958227990428213,0.34035927766663043,-1.1931193438771146,9.879124633476625,0.27997106762706836
K00367,9.37,0.25,0.63,-26.735800638303886,9.808061338337456,0.7425893315113175,-3.434880541545354,9.773265795085885,0.7110720662347765
K00369,9.62,0.1,0.13,-2.6658625637413706,9.738308039248732,0.17672359632324908,-1.1617315439685854,9.69692492219102,0.1454550014125715
K00370,9.54,0.13,0.05,22.896710170251566,9.451053003889106,0.15202623887739142,3.5953302219321444,9.457087278110826,0.14665337260722888
K00371,9.37,0.02,0.04,-22.025245491512237,9.401574594375202,0.050285364275630795,-2.4456759617189903,9.396021428032716,0.045253908357755
K00372,9.13,0.33,0.53,-29.71418413293432,9.607601977271052,0.7156862977193471,-1.7340008325486878,9.469854358831457,0.5985863706397414
K00373,10.03,0.07,0.09,-2.563280064026216,10.111630717042239,0.12215203275925057,-1.1329896440272762,10.082834742336935,0.10061146595530712
K00374,10.03,0.05,0.06,-2.005687526472542,10.08250291059434,0.0800859977348456,-0.9515923857496347,10.062979272501657,0.06660827939388558
K00375,9.73,0.11,0.07,30.37831242994673,9.629499419679762,0.14968595591485823,1.6713757234642088,9.659754067967866,0.12417224151726303
K00377,9.25,0.27,0.49,-46.00816658305493,9.659572880237043,0.6349977423577484,-2.10965080344468,9.568319835439254,0.554293854687927
K00379,9.29,0.06,0.03,-0.01989210991182233,9.300718403500706,0.04525536853539769,2.4456256093864965,9.250968623685663,0.06788061252565503
K00384,9.46,0.13,0.05,24.947742464471673,9.371053001178055,0.15202624146074228,3.595333211984709,9.377087230227684,0.14665339521987497
K00385,9.54,0.23,0.29,-55.24124437119519,9.84638164957242,0.42917569685758206,-1.0821612160333416,9.707625822949012,0.32364587011131307
K00386,8.96,0.31,0.43,-3.4170684173531782,9.355857590439076,0.5877690774175451,-1.3311005106857294,9.22395839404724,0.48312466611736127
K00387,9.46,0.41,0.52,81.64937202261743,8.84928114832599,0.7548501800084866,-1.097472019404151,9.762041493501325,0.5806371694227461
K00388,9.82,0.03,0.03,1.5980918988134363e-07,9.819999996153403,0.030167190090717,0.10032896610519515,9.817528353757439,0.030905804794742142
K00392,9.74,0.08,0.08,-0.011199698258607782,9.740718851564313,0.08044905192807783,0.0941703942759915,9.733815170778982,0.08238470172397339
K00393,9.73,0.06,0.08,-2.923090103470514,9.803241174073671,0.1090630024940612,-1.2275998440971847,9.77810912413331,0.08967256973963655
K00399,9.61,0.11,0.06,23.40621094529014,9.518613047387845,0.1420851557828724,2.143045447206333,9.538507525818694,0.12444006555964526
K00401,9.55,0.22,0.33,-5.439270635890253,9.854658934116067,0.4516915380282891,-1.5413018968477559,9.75839605992141,0.3720124393501386
K00403,9.53,0.09,0.07,2.563280064025932,9.448369282957762,0.12215203275924924,1.1329948534576744,9.477164952356757,0.1006115632858392
K00408,9.24,0.28,0.39,-3.47837612563805,9.599166136579495,0.5331871853192199,-1.342029499371165,9.479853838060713,0.4382782597463776
K00409,9.32,0.23,0.41,-23.649814583893487,9.666423681373697,0.53442700403023,-2.0516530429971453,9.586080129444296,0.46374071160009
K00415,10.12,0.02,0.03,-5.4392706358933935,10.147696266737823,0.04106286709348084,-1.5413044263487308,10.138945133620854,0.03381932490212114
K00416,9.77,0.25,0.45,-26.682393209200896,10.14799827870461,0.5847123696265741,-2.082961956000972,10.062208916087197,0.5090193123018888
K00427,9.22,0.32,0.53,-76.26166786276977,9.688488348715197,0.7080854959195355,-1.8244397945396855,9.561476441476405,0.5989370180852345
K00431,9.82,0.21,0.37,-98.54335224456861,10.134849086491847,0.48414163832241064,-2.0144130273043004,10.059928541978568,0.41845705955191725
K00433,9.73,0.23,0.34,-4.808693280026532,10.043867467595396,0.4653623958137747,-1.501355703455829,9.943792884668929,0.38308838249927024
K00435,9.95,0.09,0.11,-2.1437244739006616,10.04747821920397,0.147678938398358,-1.000437975526694,10.011733161007502,0.12237811924211495
K00439,9.48,0.25,0.38,-6.374137278849346,9.83082436697175,0.5201332000561585,-1.5778785259048504,9.720822856485645,0.42856096355793927
K00440,9.53,0.3,0.54,-79.82467614159037,9.983597931444804,0.7016548395340589,-2.0829618802695933,9.880650686081669,0.6108231704902461
K00442,9.88,0.1,0.12,0.0009741825400766402,9.873247342638159,0.11061303520088905,-0.9515893163844567,9.945958271220382,0.13321647359212074
K00444,9.63,0.21,0.37,-24.24880897065485,9.944849085224378,0.4841416374061739,-2.014400409492964,9.869926948450647,0.4184565355378774
K00446,9.84,0.24,0.45,-41.92082038387108,10.208884652054614,0.5771115706648307,-2.218310875457618,10.132684307146125,0.5091150652556016
K00448,9.62,0.32,0.37,-1.7381155187316608,9.932381293749359,0.48603283601095215,-0.8499578188613839,9.81293726240029,0.40860301768607443
K00456,9.78,0.13,0.18,-3.391276155850619,9.945679623526914,0.24602279742787458,-1.326384862799216,9.890403067460703,0.2022189125387247
K00457,8.96,0.36,0.4,-1.455478328517458,9.277317358557545,0.5119196934754187,-0.7335855015860915,9.152473313697392,0.4384396182746758
K00459,9.66,0.12,0.17,-3.756707340533765,9.816743996831976,0.2325461611593006,-1.386917346947783,9.765305137673783,0.19120443682675714
K00464,9.1,0.34,0.49,-4.099538724805868,9.552122363135254,0.6705155736228954,-1.4327164637534366,9.405516162544789,0.5515426546605384
K00465,9.83,0.06,0.07,0.0007406934225713258,9.826628025053372,0.06536204405875279,-0.8749474512495681,9.86702617644184,0.07741100602579831
K00466,9.79,0.06,0.11,-22.57789914372222,9.881386951277836,0.1420851548656965,-2.143041398092521,9.861492334775896,0.1244400195777482
K00474,9.39,0.23,0.37,-35.54593275451259,9.723076338655725,0.4993432353499132,-1.7387515611718385,9.627323256829838,0.41789532208735325
K00475,9.92,0.16,0.31,-24.73032282800466,10.169259941163894,0.39351199438527185,-2.3316602002125535,10.121714333643894,0.3507364052891093
K00479,9.91,0.12,0.17,-3.756707340534277,10.06674399683198,0.23254616115930338,-1.3869208473382173,10.015305464986534,0.19120454363447315
K00481,9.7,0.27,0.38,-3.6431970777090186,10.050230265034905,0.5197103758993376,-1.3695107633436692,9.934755895570945,0.427263738086612
K00486,10.12,0.01,0.03,-22.767574452197607,10.139124134029107,0.03391362523548214,-4.4402103100516825,10.138767360940774,0.03375062764022507
