KOI,logAiso,E_logAiso,e_logAiso
K01282,9.77,0.04,0.06
K01283,10.04,0.03,0.03
K01288,9.58,0.12,0.19
K01299,9.42,0.12,0.09
K01300,9.82,0.23,0.45
K01301,9.85,0.21,0.4
K01305,9.46,0.3,0.5
K01306,9.82,0.23,0.48
K01307,9.46,0.26,0.54
K01308,10.05,0.04,0.04
K01311,9.99,0.07,0.08
K01314,9.38,0.08,0.05
K01315,9.52,0.12,0.14
K01316,9.57,0.14,0.04
K01332,10.09,0.04,0.06
K01335,9.31,0.04,0.05
K01336,9.23,0.3,0.44
K01338,9.97,0.09,0.13
K01344,9.97,0.04,0.04
K01353,8.83,0.48,0.39
K01356,9.84,0.05,0.11
K01359,9.89,0.12,0.17
K01360,9.58,0.36,0.52
K01363,9.89,0.09,0.13
K01364,9.59,0.32,0.55
K01366,9.12,0.39,0.49
K01367,9.59,0.36,0.46
K01375,9.76,0.05,0.08
K01378,10.02,0.02,0.02
K01379,9.95,0.09,0.12
K01396,9.6,0.25,0.39
K01411,9.7,0.12,0.16
K01412,9.72,0.09,0.07
K01413,9.81,0.06,0.06
K01421,9.9,0.12,0.19
K01426,9.41,0.29,0.49
K01428,9.77,0.26,0.48
K01431,9.29,0.32,0.35
K01432,9.51,0.24,0.39
K01436,9.16,0.35,0.53
K01438,9.74,0.03,0.03
K01439,9.6,0.13,0.05
K01442,9.46,0.22,0.36
K01444,9.4,0.08,0.04
K01445,9.35,0.11,0.08
K01463,9.38,0.04,0.05
K01466,9.42,0.39,0.52
K01474,9.33,0.05,0.05
K01477,9.46,0.37,0.55
K01478,9.9,0.12,0.17
K01480,9.8,0.25,0.49
K01483,9.73,0.1,0.07
K01486,9.65,0.18,0.31
K01528,9.57,0.25,0.33
K01529,10.01,0.04,0.05
K01530,10.07,0.04,0.04
K01531,9.26,0.37,0.52
K01532,9.53,0.07,0.08
K01533,9.83,0.12,0.15
K01534,9.55,0.08,0.09
K01535,10.0,0.08,0.11
K01536,9.71,0.09,0.07
K01537,9.67,0.04,0.14
K01557,9.0,0.45,0.6
K01563,9.51,0.35,0.53
K01567,9.99,0.11,0.26
K01576,8.98,0.47,0.37
K01581,9.88,0.07,0.08
K01596,9.41,0.34,0.58
K01598,9.77,0.19,0.34
K01601,10.08,0.03,0.03
K01606,9.29,0.34,0.36
K01608,9.82,0.09,0.1
K01609,9.99,0.07,0.08
K01612,9.8,0.06,0.07
K01615,9.47,0.1,0.09
K01616,9.46,0.11,0.22
K01618,9.48,0.05,0.04
K01621,9.65,0.03,0.14
K01623,9.97,0.03,0.03
K01628,9.46,0.04,0.05
K01629,9.74,0.09,0.1
K01632,9.7,0.08,0.08
K01639,9.37,0.11,0.05
K01647,9.85,0.07,0.11
K01655,9.9,0.12,0.19
K01665,9.42,0.11,0.17
K01666,8.94,0.17,0.35
K01669,9.65,0.07,0.09
K01688,9.63,0.11,0.05
K01692,8.99,0.36,0.4
K01695,9.81,0.07,0.08
K01706,9.66,0.25,0.51
K01707,10.09,0.04,0.07
K01715,10.08,0.04,0.05
K01726,9.83,0.22,0.42
K01738,9.35,0.32,0.48
K01739,9.91,0.05,0.06
K01751,9.24,0.39,0.53
K01779,8.98,0.23,0.09
K01781,8.99,0.61,0.5
K01783,9.61,0.12,0.17
K01796,9.45,0.17,0.28
K01797,8.9,0.33,0.5
K01800,9.21,0.27,0.21
K01802,8.96,0.41,0.44
K01803,8.98,0.51,0.48
K01805,9.03,0.34,0.51
K01806,9.67,0.08,0.1
K01808,9.01,0.28,0.43
K01809,9.39,0.24,0.39
K01812,9.86,0.06,0.07
K01813,9.4,0.2,0.61
K01815,9.18,0.55,0.48
K01818,9.16,0.3,0.51
K01819,9.28,0.19,0.41
K01820,9.04,0.35,0.5
K01822,9.6,0.14,0.18
K01824,9.86,0.09,0.1
K01825,8.99,0.38,0.51
K01826,9.79,0.1,0.13
K01831,9.53,0.25,0.32
K01832,8.97,0.38,0.45
K01835,10.12,0.01,0.03
K01837,9.08,0.37,0.34
K01839,8.95,0.37,0.43
K01841,10.04,0.08,0.13
K01845,9.69,0.28,0.39
K01850,9.92,0.06,0.07
K01852,9.65,0.07,0.07
K01854,9.49,0.25,0.49
K01856,9.27,0.26,0.52
K01858,9.26,0.27,0.43
K01860,9.43,0.24,0.36
K01861,8.97,0.4,0.42
K01862,9.17,0.35,0.62
K01863,9.21,0.21,0.37
K01864,9.9,0.03,0.03
K01871,9.57,0.37,0.53
K01875,10.02,0.08,0.11
K01877,9.34,0.51,0.46
K01878,9.44,0.09,0.07
K01883,9.66,0.09,0.06
K01886,9.55,0.06,0.05
K01888,9.35,0.04,0.04
K01889,9.26,0.3,0.5
K01891,9.54,0.33,0.49
K01893,10.13,0.01,0.02
K01894,9.44,0.09,0.07
K01897,9.91,0.07,0.08
